INSERT INTO beszerzes (`termek_min_id`, `termek_kiszerel`, `user_id`, `beszerzes_mennyiseg`, `beszerzes_datum`, `beszerzes_megrendelt`, `beszerzes_teljesites`, `beszerzes_modosit`, `beszerzes_erveny`) VALUES 
(1, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(1, 250, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(2, 100, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(3, 100, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(3, 250, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(3, 500, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(4, 100, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(4, 250, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(4, 500, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(5, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(6, 100, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(6, 250, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(7, 100, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(7, 250, 3, 25, '2017-12-12', 1, '2017-12-23', 3, 0),
(8, 100, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(8, 250, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(9, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(10, 100, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(10, 250, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(10, 500, 3, 1, '2017-12-12', 1, '2017-12-23', 3, 0),
(11, 100, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(11, 250, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(11, 500, 3, 51, '2017-12-12', 1, '2017-12-23', 3, 0),
(12, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(12, 250, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(13, 100, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(14, 100, 3, 49, '2017-12-12', 1, '2017-12-23', 3, 0),
(15, 100, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(16, 100, 3, 15, '2017-12-12', 1, '2017-12-23', 3, 0),
(17, 100, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(18, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(19, 100, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(19, 250, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(20, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(20, 250, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(21, 100, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(21, 250, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(21, 500, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(22, 100, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(22, 250, 3, 46, '2017-12-12', 1, '2017-12-23', 3, 0),
(23, 100, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(23, 250, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(24, 100, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(24, 250, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(25, 100, 3, 33, '2017-12-12', 1, '2017-12-23', 3, 0),
(26, 100, 3, 56, '2017-12-12', 1, '2017-12-23', 3, 0),
(27, 100, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(28, 100, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(28, 250, 3, 0, '2017-12-12', 1, '2017-12-23', 3, 0),
(29, 100, 3, 46, '2017-12-12', 1, '2017-12-23', 3, 0),
(29, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(29, 500, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(30, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(30, 250, 3, 0, '2017-12-12', 1, '2017-12-23', 3, 0),
(30, 500, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(31, 100, 3, 36, '2017-12-12', 1, '2017-12-23', 3, 0),
(31, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(32, 100, 3, 52, '2017-12-12', 1, '2017-12-23', 3, 0),
(32, 250, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(32, 500, 3, 19, '2017-12-12', 1, '2017-12-23', 3, 0),
(33, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(33, 250, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(34, 100, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(34, 250, 3, 0, '2017-12-12', 1, '2017-12-23', 3, 0),
(35, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(35, 250, 3, 19, '2017-12-12', 1, '2017-12-23', 3, 0),
(36, 100, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(37, 100, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(37, 250, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(37, 500, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(38, 100, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(38, 250, 3, 52, '2017-12-12', 1, '2017-12-23', 3, 0),
(39, 100, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(40, 100, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(40, 250, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(40, 500, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(41, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(41, 250, 3, 69, '2017-12-12', 1, '2017-12-23', 3, 0),
(42, 100, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(42, 250, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(42, 500, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(43, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(43, 250, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(44, 100, 3, 37, '2017-12-12', 1, '2017-12-23', 3, 0),
(45, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(46, 100, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(47, 100, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(47, 250, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(48, 100, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(49, 100, 3, 48, '2017-12-12', 1, '2017-12-23', 3, 0),
(49, 250, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(49, 500, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(50, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(51, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(52, 100, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(52, 250, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(52, 500, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(53, 100, 3, 26, '2017-12-12', 1, '2017-12-23', 3, 0),
(53, 250, 3, 37, '2017-12-12', 1, '2017-12-23', 3, 0),
(53, 500, 3, 37, '2017-12-12', 1, '2017-12-23', 3, 0),
(54, 100, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(55, 100, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(55, 250, 3, 26, '2017-12-12', 1, '2017-12-23', 3, 0),
(55, 500, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(56, 100, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(56, 250, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(56, 500, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(57, 100, 3, 27, '2017-12-12', 1, '2017-12-23', 3, 0),
(57, 250, 3, 49, '2017-12-12', 1, '2017-12-23', 3, 0),
(57, 500, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(58, 100, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(58, 250, 3, 43, '2017-12-12', 1, '2017-12-23', 3, 0),
(59, 100, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(59, 250, 3, 24, '2017-12-12', 1, '2017-12-23', 3, 0),
(59, 500, 3, 31, '2017-12-12', 1, '2017-12-23', 3, 0),
(60, 100, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(61, 100, 3, 43, '2017-12-12', 1, '2017-12-23', 3, 0),
(62, 100, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(62, 250, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(62, 500, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(63, 100, 3, 8, '2017-12-12', 1, '2017-12-23', 3, 0),
(63, 250, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(63, 500, 3, 7, '2017-12-12', 1, '2017-12-23', 3, 0),
(64, 100, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(64, 250, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(65, 100, 3, 47, '2017-12-12', 1, '2017-12-23', 3, 0),
(65, 250, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(65, 500, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(66, 100, 3, 51, '2017-12-12', 1, '2017-12-23', 3, 0),
(66, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(66, 500, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(67, 100, 3, 48, '2017-12-12', 1, '2017-12-23', 3, 0),
(68, 100, 3, 35, '2017-12-12', 1, '2017-12-23', 3, 0),
(69, 100, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(70, 100, 3, 15, '2017-12-12', 1, '2017-12-23', 3, 0),
(70, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(70, 500, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(71, 100, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(71, 250, 3, 11, '2017-12-12', 1, '2017-12-23', 3, 0),
(71, 500, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(72, 100, 3, 39, '2017-12-12', 1, '2017-12-23', 3, 0),
(73, 100, 3, 5, '2017-12-12', 1, '2017-12-23', 3, 0),
(74, 100, 3, 40, '2017-12-12', 1, '2017-12-23', 3, 0),
(75, 100, 3, 1, '2017-12-12', 1, '2017-12-23', 3, 0),
(75, 250, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(75, 500, 3, 29, '2017-12-12', 1, '2017-12-23', 3, 0),
(76, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(76, 250, 3, 1, '2017-12-12', 1, '2017-12-23', 3, 0),
(76, 500, 3, 9, '2017-12-12', 1, '2017-12-23', 3, 0),
(77, 100, 3, 23, '2017-12-12', 1, '2017-12-23', 3, 0),
(78, 100, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(78, 250, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(79, 100, 3, 12, '2017-12-12', 1, '2017-12-23', 3, 0),
(79, 250, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(79, 500, 3, 27, '2017-12-12', 1, '2017-12-23', 3, 0),
(80, 100, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(81, 100, 3, 14, '2017-12-12', 1, '2017-12-23', 3, 0),
(81, 250, 3, 36, '2017-12-12', 1, '2017-12-23', 3, 0),
(82, 100, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(82, 250, 3, 30, '2017-12-12', 1, '2017-12-23', 3, 0),
(82, 500, 3, 25, '2017-12-12', 1, '2017-12-23', 3, 0),
(83, 100, 3, 18, '2017-12-12', 1, '2017-12-23', 3, 0),
(83, 250, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(84, 100, 3, 33, '2017-12-12', 1, '2017-12-23', 3, 0),
(85, 100, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
(86, 100, 3, 13, '2017-12-12', 1, '2017-12-23', 3, 0),
(86, 250, 3, 21, '2017-12-12', 1, '2017-12-23', 3, 0),
(86, 500, 3, 16, '2017-12-12', 1, '2017-12-23', 3, 0),
(87, 100, 3, 22, '2017-12-12', 1, '2017-12-23', 3, 0),
(87, 250, 3, 27, '2017-12-12', 1, '2017-12-23', 3, 0),
(88, 100, 3, 10, '2017-12-12', 1, '2017-12-23', 3, 0),
(89, 100, 3, 50, '2017-12-12', 1, '2017-12-23', 3, 0),
(90, 100, 3, 28, '2017-12-12', 1, '2017-12-23', 3, 0),
(90, 250, 3, 20, '2017-12-12', 1, '2017-12-23', 3, 0),
(91, 100, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(91, 250, 3, 3, '2017-12-12', 1, '2017-12-23', 3, 0),
(91, 500, 3, 6, '2017-12-12', 1, '2017-12-23', 3, 0),
(92, 100, 3, 1, '2017-12-12', 1, '2017-12-23', 3, 0),
(92, 250, 3, 34, '2017-12-12', 1, '2017-12-23', 3, 0),
(92, 500, 3, 17, '2017-12-12', 1, '2017-12-23', 3, 0),
