INSERT INTO keresek (`keres_datum`, `termek_min_id`, `termek_kiszerel`, `user_id`, `keres_mennyiseg`, `keres_teljesit`, `keres_modosit`, `keres_erveny`) VALUES 
('2019-05-08', 118, 500, 7, 1, '2019-05-09', 3, 0),
('2018-05-19', 8, 100, 2, 14, '2018-05-20', 3, 0),
('2018-10-13', 37, 250, 7, 7, '2018-10-14', 3, 0),
('2019-06-10', 99, 250, 2, 19, '2019-06-11', 3, 0),
('2018-05-03', 32, 100, 2, 24, '', 2, 0),
('2018-01-19', 49, 100, 7, 6, '2018-01-20', 3, 0),
('2018-08-05', 4, 500, 2, 7, '2018-08-06', 3, 0),
('2018-06-18', 121, 100, 7, 5, '', 0, 1),
('2019-05-04', 132, 250, 2, 5, '2019-05-05', 3, 0),
('2019-08-15', 84, 100, 7, 2, '2019-08-16', 3, 0),
('2019-12-27', 59, 250, 7, 20, '2019-12-28', 3, 0),
('2019-12-13', 109, 100, 7, 6, '', 7, 0),
('2018-10-28', 37, 500, 7, 3, '2018-10-30', 3, 0),
('2018-04-08', 41, 250, 7, 24, '2018-04-09', 3, 0),
('2018-10-22', 76, 100, 7, 3, '2018-10-23', 3, 0),
('2018-11-06', 92, 500, 2, 6, '2018-11-07', 3, 0),
('2019-06-28', 57, 250, 7, 28, '2019-06-28', 3, 0),
('2019-06-21', 30, 100, 2, 29, '2019-06-22', 3, 0),
('2019-01-20', 121, 250, 7, 4, '2019-01-21', 3, 0),
('2019-09-05', 116, 250, 2, 28, '2019-09-06', 3, 0),
('2019-10-14', 1, 100, 2, 9, '', 2, 0),
('2018-11-25', 129, 100, 2, 10, '2018-11-26', 3, 0),
('2018-04-04', 58, 250, 7, 23, '', 7, 0),
('2019-01-03', 76, 500, 2, 2, '2019-01-04', 3, 0),
('2018-01-04', 117, 100, 7, 21, '2018-01-05', 3, 0),
('2019-09-19', 38, 100, 7, 20, '2019-09-20', 3, 0),
('2018-03-20', 112, 500, 7, 7, '2018-03-21', 3, 0),
('2019-10-25', 121, 100, 7, 4, '2019-10-26', 3, 0),
('2019-03-10', 115, 500, 7, 5, '2019-03-11', 3, 0),
('2019-10-05', 82, 500, 2, 22, '2019-10-06', 3, 0),
('2018-06-12', 71, 100, 7, 4, '2018-06-13', 3, 0),
('2019-06-09', 43, 250, 2, 3, '', 2, 0),
('2018-01-17', 33, 100, 7, 14, '2018-01-18', 3, 0),
('2018-12-16', 71, 500, 7, 6, '2018-12-17', 3, 0),
('2019-06-14', 68, 100, 2, 11, '2019-06-15', 3, 0),
('2018-12-01', 49, 100, 2, 15, '', 2, 0),
('2019-02-16', 1, 100, 2, 19, '2019-02-17', 3, 0),
('2018-05-10', 14, 100, 7, 28, '2018-05-11', 3, 0),
('2019-11-16', 61, 100, 2, 12, '', 2, 0),
('2018-08-12', 53, 250, 2, 25, '2018-08-13', 3, 0),
('2019-12-03', 81, 250, 2, 10, '2019-12-04', 3, 0),
('2019-04-27', 65, 100, 2, 13, '2019-04-28', 3, 0),
('2019-12-10', 10, 250, 7, 1, '2019-12-11', 3, 0),
('2019-10-17', 25, 100, 2, 4, '2019-10-18', 3, 0),
('2019-07-22', 130, 100, 2, 28, '2019-07-23', 3, 0),
('2018-04-07', 89, 100, 2, 29, '2018-04-08', 3, 0),
('2018-11-12', 22, 250, 7, 21, '2018-11-13', 3, 0),
('2019-01-23', 92, 250, 2, 26, '2019-01-24', 3, 0),
('2018-07-24', 120, 100, 7, 6, '2018-07-25', 3, 0),
('2019-03-11', 118, 100, 7, 13, '2019-03-12', 3, 0),
('2019-02-09', 29, 100, 7, 1, '2019-02-10', 3, 0),
('2019-02-13', 109, 100, 7, 28, '2019-02-14', 3, 0),
('2018-12-23', 35, 100, 7, 10, '2018-12-24', 3, 0),
('2019-05-19', 31, 100, 2, 21, '2019-05-20', 3, 0),
('2019-01-28', 67, 100, 7, 24, '2019-01-30', 3, 0),
('2019-06-24', 14, 100, 2, 12, '2019-06-25', 3, 0),
('2018-05-24', 45, 100, 7, 7, '2018-05-25', 3, 0),
('2018-08-11', 52, 500, 7, 21, '', 7, 0),
('2019-03-10', 101, 100, 2, 9, '2019-03-11', 3, 0),
('2018-02-05', 19, 100, 2, 4, '2018-02-06', 3, 0),
('2019-03-28', 74, 100, 2, 27, '2019-03-28', 3, 0),
('2019-07-14', 3, 500, 2, 4, '2019-07-15', 3, 0),
('2019-03-04', 66, 250, 7, 9, '2019-03-05', 3, 0),
('2019-07-21', 121, 100, 2, 3, '2019-07-22', 3, 0),
('2019-02-12', 135, 100, 7, 25, '2019-02-13', 3, 0),
('2018-02-01', 90, 100, 7, 13, '2018-02-02', 3, 0),
('2019-11-28', 114, 250, 7, 22, '2019-11-28', 3, 0),
('2019-01-11', 119, 100, 2, 7, '2019-01-12', 3, 0),
('2019-04-25', 62, 500, 2, 3, '2019-04-26', 3, 0),
('2018-01-09', 29, 100, 7, 23, '', 7, 0),
('2018-05-25', 3, 500, 2, 2, '', 2, 0),
('2019-05-19', 110, 100, 7, 22, '2019-05-20', 3, 0),
('2019-08-02', 5, 100, 7, 13, '', 7, 0),
('2018-08-18', 38, 250, 7, 23, '2018-08-19', 3, 0),
('2019-10-11', 125, 100, 2, 28, '', 2, 0),
('2019-06-02', 92, 250, 2, 6, '2019-06-03', 3, 0),
('2019-06-13', 66, 100, 7, 20, '2019-06-14', 3, 0),
('2019-01-04', 106, 250, 2, 5, '2019-01-05', 3, 0),
('2018-09-26', 141, 250, 7, 24, '2018-09-27', 3, 0),
('2019-10-04', 120, 100, 7, 18, '2019-10-05', 3, 0),
('2019-05-12', 65, 100, 7, 23, '', 7, 0),
('2019-10-28', 29, 500, 7, 8, '2019-10-30', 3, 0),
('2019-01-25', 44, 100, 2, 19, '2019-01-26', 3, 0),
('2018-06-12', 111, 100, 7, 18, '2018-06-13', 3, 0),
('2018-12-03', 88, 100, 2, 9, '', 2, 0),
('2019-05-18', 107, 100, 7, 8, '2019-05-19', 3, 0),
('2018-07-04', 21, 100, 2, 15, '2018-07-05', 3, 0),
('2018-02-11', 11, 500, 7, 28, '2018-02-12', 3, 0),
('2019-08-09', 133, 100, 2, 18, '2019-08-10', 3, 0),
('2019-07-28', 115, 250, 7, 18, '2019-07-28', 3, 0),
('2018-11-09', 24, 250, 2, 22, '2018-11-10', 3, 0),
('2019-01-28', 56, 250, 2, 17, '2019-01-28', 3, 0),
('2019-04-01', 110, 500, 7, 14, '2019-04-02', 3, 0),
('2019-04-24', 41, 250, 2, 17, '2019-04-25', 3, 0),
('2018-02-15', 26, 100, 2, 28, '', 2, 0),
('2018-05-06', 32, 100, 7, 17, '', 7, 0),
('2019-01-07', 53, 500, 7, 28, '2019-01-08', 3, 0),
('2018-02-09', 134, 250, 2, 21, '2018-02-10', 3, 0),
('2018-03-21', 72, 100, 7, 24, '', 7, 0),
('2019-04-28', 115, 100, 2, 6, '2019-04-30', 3, 0);
